compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz,atomic_base_mass,atomic_mz,rdkit_base_mass,rdkit_mz,atomic_difference,rdkit_difference,method_difference
Isopropanol [M+NH4]+,Isopropanol,,C3H8O,C3H12NO,ammoniated,78.0913378761,60.05751487612,78.09133787612001,,,2.000888343900442e-11,,
Isopropanol [M+Na]+,Isopropanol,,C3H8O,C3H8NaO,sodiated,83.0472838761,60.05751487612,83.04728387612,,,2.000888343900442e-11,,
Isopropanol [M+K]+,Isopropanol,,C3H8O,C3H8KO,potassiated,99.0212218761,60.05751487612,99.02122187612,,,1.999467258428922e-11,,
Isopropanol [2M+H]+,Isopropanol,,C6H16O2,C6H17O2,dimer_protonated,120.1150297522,120.11502975224,121.12285475224,,,1.0078250000400004,,
Isopropanol [M-H2O+H]+,Isopropanol,,C3H6,C3H7,dehydrated_protonated,42.0469501924,42.04695019242,25.03912519242,,,17.00782499998,,
"1,2-Ethylenediamine [M+H]+","1,2-Ethylenediamine",,C2H8N2,C2H9N2,protonated,61.0765732662,60.06874826616,61.07657326616,,,4.000355602329364e-11,,
"1,2-Ethylenediamine [M+NH4]+","1,2-Ethylenediamine",,C2H8N2,C2H12N3,ammoniated,78.1025712662,60.06874826616,78.10257126616,,,4.000355602329364e-11,,
"1,2-Ethylenediamine [M+Na]+","1,2-Ethylenediamine",,C2H8N2,C2H8N2Na,sodiated,83.0585172662,60.06874826616,83.05851726616,,,4.000355602329364e-11,,
"1,2-Ethylenediamine [M+K]+","1,2-Ethylenediamine",,C2H8N2,C2H8KN2,potassiated,99.0324552662,60.06874826616,99.03245526616,,,4.000355602329364e-11,,
"1,2-Ethylenediamine [2M+H]+","1,2-Ethylenediamine",,C4H16N4,C4H17N4,dimer_protonated,120.1374965323,120.13749653232,121.14532153232,,,1.0078250000199915,,
Ethylene glycol [M+H]+,Ethylene glycol,,C2H6O2,C2H7O2,protonated,63.0446044315,62.03677943154,63.044604431539994,,,3.999645059593604e-11,,
Ethylene glycol [M+NH4]+,Ethylene glycol,,C2H6O2,C2H10NO2,ammoniated,80.0706024315,62.03677943154,80.07060243154,,,3.998934516857844e-11,,
Ethylene glycol [M+Na]+,Ethylene glycol,,C2H6O2,C2H6NaO2,sodiated,85.0265484315,62.03677943154,85.02654843154,,,3.998934516857844e-11,,
Ethylene glycol [M+K]+,Ethylene glycol,,C2H6O2,C2H6KO2,potassiated,101.0004864315,62.03677943154,101.00048643154,,,4.000355602329364e-11,,
Ethylene glycol [2M+H]+,Ethylene glycol,,C4H12O4,C4H13O4,dimer_protonated,124.0735588631,124.07355886308,125.08138386307999,,,1.007824999979988,,
Ethylene glycol [M-H2O+H]+,Ethylene glycol,,C2H4O,C2H5O,dehydrated_protonated,44.0262147478,44.02621474784,27.01838974784,,,17.007824999959997,,
Nitric acid [M+H]+,Nitric acid,,HNO3,H2NO3,protonated,64.0034678956,62.99564289555,64.00346789555,,,4.999378688808065e-11,,
Nitric acid [M+NH4]+,Nitric acid,,HNO3,H5N2O3,ammoniated,81.0294658956,62.99564289555,81.02946589555,,,4.999378688808065e-11,,
Nitric acid [M+Na]+,Nitric acid,,HNO3,HNNaO3,sodiated,85.9854118956,62.99564289555,85.98541189555,,,4.999378688808065e-11,,
Nitric acid [M+K]+,Nitric acid,,HNO3,HKNO3,potassiated,101.9593498955,62.99564289555,101.95934989554999,,,4.999378688808065e-11,,
Nitric acid [2M+H]+,Nitric acid,,H2N2O6,H3N2O6,dimer_protonated,125.9912857911,125.9912857911,126.9991107911,,,1.0078249999999969,,
DMSO [M+H]+,DMSO,,C2H6OS,C2H7OS,protonated,79.0217608120,78.01393581197999,79.02176081197999,,,2.000888343900442e-11,,
DMSO [M+NH4]+,DMSO,,C2H6OS,C2H10NOS,ammoniated,96.0477588120,78.01393581197999,96.04775881197999,,,2.000888343900442e-11,,
DMSO [M+Na]+,DMSO,,C2H6OS,C2H6NaOS,sodiated,101.0037048120,78.01393581197999,101.00370481197999,,,2.000888343900442e-11,,
DMSO [M+K]+,DMSO,,C2H6OS,C2H6KOS,potassiated,116.9776428120,78.01393581197999,116.97764281197999,,,2.000888343900442e-11,,
DMSO [2M+H]+,DMSO,,C4H12O2S2,C4H13O2S2,dimer_protonated,156.0278716240,156.02787162395998,157.03569662395998,,,1.007824999959979,,
DMSO-d6 [M+H]+,DMSO-d6,,C2D6OS,C2HD6OS,protonated,85.0594212864,84.05159628636,85.05942128635999,,,4.000355602329364e-11,,
DMSO-d6 [M+NH4]+,DMSO-d6,,C2D6OS,C2H4D6NOS,ammoniated,102.0854192864,84.05159628636,102.08541928636,,,4.000355602329364e-11,,
DMSO-d6 [M+Na]+,DMSO-d6,,C2D6OS,C2D6NaOS,sodiated,107.0413652864,84.05159628636,107.04136528635999,,,4.000355602329364e-11,,
DMSO-d6 [M+K]+,DMSO-d6,,C2D6OS,C2D6KOS,potassiated,123.0153032864,84.05159628636,123.01530328636,,,4.000355602329364e-11,,
DMSO-d6 [2M+H]+,DMSO-d6,,C4D12O2S2,C4HD12O2S2,dimer_protonated,168.1031925727,168.10319257272,169.11101757272,,,1.0078250000199773,,
Piperidine [M+H]+,Piperidine,,C5H11N,C5H12N,protonated,86.0969743576,85.08914935757,86.09697435756999,,,3.001332515850663e-11,,
Piperidine [M+NH4]+,Piperidine,,C5H11N,C5H15N2,ammoniated,103.1229723576,85.08914935757,103.12297235756999,,,3.001332515850663e-11,,
Piperidine [M+Na]+,Piperidine,,C5H11N,C5H11NNa,sodiated,108.0789183576,85.08914935757,108.07891835756999,,,3.001332515850663e-11,,
Piperidine [M+K]+,Piperidine,,C5H11N,C5H11KN,potassiated,124.0528563576,85.08914935757,124.05285635757,,,3.001332515850663e-11,,
Piperidine [2M+H]+,Piperidine,,C10H22N2,C10H23N2,dimer_protonated,170.1782987151,170.17829871514,171.18612371513998,,,1.0078250000399862,,
