compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz
DMSO [M+K]+,DMSO,,C2H6OS,C2H6KOS,potassiated,116.97764249197999
DMSO [2M+H]+,DMSO,,C4H12O2S2,C4H13O2S2,dimer_protonated,157.03569665602998
DMSO-d6 [M+H]+,DMSO-d6,,C2D6OS,C2HD6OS,protonated,85.05942131843
DMSO-d6 [M+NH4]+,DMSO-d6,,C2D6OS,C2H4D6NOS,ammoniated,102.08597041944
DMSO-d6 [M+Na]+,DMSO-d6,,C2D6OS,C2D6NaOS,sodiated,107.04136556726
DMSO-d6 [M+K]+,DMSO-d6,,C2D6OS,C2D6KOS,potassiated,123.01530296636
DMSO-d6 [2M+H]+,DMSO-d6,,C4D12O2S2,C4HD12O2S2,dimer_protonated,169.11101760479
Piperidine [M+H]+,Piperidine,,C5H11N,C5H12N,protonated,86.09697438964
Piperidine [M+NH4]+,Piperidine,,C5H11N,C5H15N2,ammoniated,103.12352349065
Piperidine [M+Na]+,Piperidine,,C5H11N,C5H11NNa,sodiated,108.07891863846999
Piperidine [M+K]+,Piperidine,,C5H11N,C5H11KN,potassiated,124.05285603757
Piperidine [2M+H]+,Piperidine,,C10H22N2,C10H23N2,dimer_protonated,171.18612374721
Hexanes [M+H]+,Hexanes,,C6H14,C6H15,protonated,87.11737548105
Hexanes [M+NH4]+,Hexanes,,C6H14,C6H18N,ammoniated,104.14392458206
Hexanes [M+Na]+,Hexanes,,C6H14,C6H14Na,sodiated,109.09931972988
Hexanes [M+K]+,Hexanes,,C6H14,C6H14K,potassiated,125.07325712898
Hexanes [2M+H]+,Hexanes,,C12H28,C12H29,dimer_protonated,173.22692593003
Toluene [M+H]+,Toluene,,C7H8,C7H9,protonated,93.07042528863
Toluene [M+NH4]+,Toluene,,C7H8,C7H12N,ammoniated,110.09697438964
Toluene [M+Na]+,Toluene,,C7H8,C7H8Na,sodiated,115.05236953746001
Toluene [M+K]+,Toluene,,C7H8,C7H8K,potassiated,131.02630693656
Toluene [2M+H]+,Toluene,,C14H16,C14H17,dimer_protonated,185.13302554519
Aniline [M+H]+,Aniline,,C6H7N,C6H8N,protonated,94.06567426136
Aniline [M+NH4]+,Aniline,,C6H7N,C6H11N2,ammoniated,111.09222336236999
Aniline [M+Na]+,Aniline,,C6H7N,C6H7NNa,sodiated,116.04761851019
Aniline [M+K]+,Aniline,,C6H7N,C6H7KN,potassiated,132.02155590929002
Aniline [2M+H]+,Aniline,,C12H14N2,C12H15N2,dimer_protonated,187.12352349065
Silicic acid [M+H]+,Silicic acid,,H4SiO4,H5O4Si,protonated,96.99571017109
Silicic acid [M+NH4]+,Silicic acid,,H4SiO4,H8NO4Si,ammoniated,114.0222592721
Silicic acid [M+Na]+,Silicic acid,,H4SiO4,H4NaO4Si,sodiated,118.97765441992
Silicic acid [M+K]+,Silicic acid,,H4SiO4,H4KO4Si,potassiated,134.95159181902
Silicic acid [2M+H]+,Silicic acid,,H8O8Si2,H9O8Si2,dimer_protonated,192.98359531011
Phosphoric acid [M+H]+,Phosphoric acid,,H3PO4,H4O4P,protonated,98.98472023651999
Phosphoric acid [M+NH4]+,Phosphoric acid,,H3PO4,H7NO4P,ammoniated,116.01126933753
Phosphoric acid [M+Na]+,Phosphoric acid,,H3PO4,H3NaO4P,sodiated,120.96666448535
Phosphoric acid [M+K]+,Phosphoric acid,,H3PO4,H3KO4P,potassiated,136.94060188445002
Phosphoric acid [2M+H]+,Phosphoric acid,,H6O8P2,H7O8P2,dimer_protonated,196.96161544096998
Triethylamine [M+H]+,Triethylamine,,C6H15N,C6H16N,protonated,102.12827451792
Triethylamine [M+NH4]+,Triethylamine,,C6H15N,C6H19N2,ammoniated,119.15482361893
Triethylamine [M+Na]+,Triethylamine,,C6H15N,C6H15NNa,sodiated,124.11021876675
Triethylamine [M+K]+,Triethylamine,,C6H15N,C6H15KN,potassiated,140.08415616585
Triethylamine [2M+H]+,Triethylamine,,C12H30N2,C12H31N2,dimer_protonated,203.24872400377
Selenium dioxide [M+H]+,Selenium dioxide,80Se,SeO2,HO2Se,protonated,112.91417557119
Selenium dioxide [M+NH4]+,Selenium dioxide,80Se,SeO2,H4NO2Se,ammoniated,129.9407246722
Selenium dioxide [M+Na]+,Selenium dioxide,80Se,SeO2,NaO2Se,sodiated,134.89611982002
Selenium dioxide [M+K]+,Selenium dioxide,80Se,SeO2,KO2Se,potassiated,150.87005721911999
Selenium dioxide [2M+H]+,Selenium dioxide,80Se,O4Se2,HO4Se2,dimer_protonated,224.82052611031
PBG fragment 1 [M+H]+,PBG fragment 1,,C7H7NO,C7H8NO,protonated,122.06058888092
PBG fragment 1 [M+NH4]+,PBG fragment 1,,C7H7NO,C7H11N2O,ammoniated,139.08713798193
PBG fragment 1 [M+Na]+,PBG fragment 1,,C7H7NO,C7H7NNaO,sodiated,144.04253312975
PBG fragment 1 [M+K]+,PBG fragment 1,,C7H7NO,C7H7KNO,potassiated,160.01647052885
PBG fragment 1 [2M+H]+,PBG fragment 1,,C14H14N2O2,C14H15N2O2,dimer_protonated,243.11335272976999
PBG fragment 2 [M+H]+,PBG fragment 2,,C7H8O2,C7H9O2,protonated,125.06025452775
PBG fragment 2 [M+NH4]+,PBG fragment 2,,C7H8O2,C7H12NO2,ammoniated,142.08680362875998
PBG fragment 2 [M+Na]+,PBG fragment 2,,C7H8O2,C7H8NaO2,sodiated,147.04219877658
PBG fragment 2 [M+K]+,PBG fragment 2,,C7H8O2,C7H8KO2,potassiated,163.01613617568
PBG fragment 2 [2M+H]+,PBG fragment 2,,C14H16O4,C14H17O4,dimer_protonated,249.11268402343
Quinoline [M+H]+,Quinoline,,C9H7N,C9H8N,protonated,130.06567426136002
Quinoline [M+NH4]+,Quinoline,,C9H7N,C9H11N2,ammoniated,147.09222336237
Quinoline [M+Na]+,Quinoline,,C9H7N,C9H7NNa,sodiated,152.04761851019
Quinoline [M+K]+,Quinoline,,C9H7N,C9H7KN,potassiated,168.02155590929
Quinoline [2M+H]+,Quinoline,,C18H14N2,C18H15N2,dimer_protonated,259.12352349065003
Selenic acid [M+H]+,Selenic acid,80Se,H2SeO4,H3O4Se,protonated,146.91965487445
Selenic acid [M+NH4]+,Selenic acid,80Se,H2SeO4,H6NO4Se,ammoniated,163.94620397545998
Selenic acid [M+Na]+,Selenic acid,80Se,H2SeO4,H2NaO4Se,sodiated,168.90159912328
Selenic acid [M+K]+,Selenic acid,80Se,H2SeO4,H2KO4Se,potassiated,184.87553652238
Selenic acid [2M+H]+,Selenic acid,80Se,H4O8Se2,H5O8Se2,dimer_protonated,292.83148471683
Coumarin [M+H]+,Coumarin,,C9H6O2,C9H7O2,protonated,147.04460446361
Coumarin [M+NH4]+,Coumarin,,C9H6O2,C9H10NO2,ammoniated,164.07115356461998
Coumarin [M+Na]+,Coumarin,,C9H6O2,C9H6NaO2,sodiated,169.02654871244
Coumarin [M+K]+,Coumarin,,C9H6O2,C9H6KO2,potassiated,185.00048611154
Coumarin [2M+H]+,Coumarin,,C18H12O4,C18H13O4,dimer_protonated,293.08138389515
Lead stearate [M+H]+,Lead stearate,,C6H15NO3,C6H16NO3,protonated,150.1130183766
Lead stearate [M+NH4]+,Lead stearate,,C6H15NO3,C6H19N2O3,ammoniated,167.13956747761
Lead stearate [M+Na]+,Lead stearate,,C6H15NO3,C6H15NNaO3,sodiated,172.09496262543
Lead stearate [M+K]+,Lead stearate,,C6H15NO3,C6H15KNO3,potassiated,188.06890002453
Lead stearate [2M+H]+,Lead stearate,,C12H30N2O6,C12H31N2O6,dimer_protonated,299.21821172113
Triethanolamine [M+H]+,Triethanolamine,,C6H15NO3,C6H16NO3,protonated,150.1130183766
Triethanolamine [M+NH4]+,Triethanolamine,,C6H15NO3,C6H19N2O3,ammoniated,167.13956747761
Triethanolamine [M+Na]+,Triethanolamine,,C6H15NO3,C6H15NNaO3,sodiated,172.09496262543
Triethanolamine [M+K]+,Triethanolamine,,C6H15NO3,C6H15KNO3,potassiated,188.06890002453
Triethanolamine [2M+H]+,Triethanolamine,,C12H30N2O6,C12H31N2O6,dimer_protonated,299.21821172113
Triethanolamine [M-H2O+H]+,Triethanolamine,,C6H13NO2,C6H14NO2,dehydrated_protonated,132.10245369289999
