compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz,atomic_base_mass,atomic_mz,rdkit_base_mass,rdkit_mz,atomic_difference,rdkit_difference,method_difference
Potassium hydroxide [2M+H]+,Potassium hydroxide,,H2K2O2,H3K2O2,dimer_protonated,111.9328926633,111.93289266326,112.94071766326,111.93289399999999,112.94071899999999,1.0078249999600075,1.007826336699992,1.336739984481028e-06
Acetone [M+H]+,Acetone,,C3H6O,C3H7O,protonated,59.0496898120,58.04186481198,59.049689811979995,58.041865,59.04969,2.000177801164682e-11,1.8800000134433503e-07,1.8802000312234668e-07
Acetone [M+NH4]+,Acetone,,C3H6O,C3H10NO,ammoniated,76.0756878120,58.04186481198,76.07568781198,58.041865,76.075688,1.999467258428922e-11,1.8800000134433503e-07,1.8801999601691932e-07
Acetone [M+Na]+,Acetone,,C3H6O,C3H6NaO,sodiated,81.0316338120,58.04186481198,81.03163381198,58.041865,81.031634,1.999467258428922e-11,1.8800000134433503e-07,1.8801999601691932e-07
Acetone [M+K]+,Acetone,,C3H6O,C3H6KO,potassiated,97.0055718120,58.04186481198,97.00557181197999,58.041865,97.005572,2.000888343900442e-11,1.8800000134433503e-07,1.8802001022777404e-07
Acetone [2M+H]+,Acetone,,C6H12O2,C6H13O2,dimer_protonated,116.0837296240,116.08372962396,117.09155462396,116.08373,117.091555,1.0078249999599933,1.0078253759999996,3.7604000624469336e-07
Silica [M+H]+,Silica,,SiO2,HO2Si,protonated,60.9745807716,59.96675577162,60.97458077162,59.966757,60.974582,1.999467258428922e-11,1.2283999950568614e-06,1.228380000384277e-06
Silica [M+NH4]+,Silica,,SiO2,H4NO2Si,ammoniated,78.0005787716,59.96675577162,78.00057877162,59.966757,78.00058,1.999467258428922e-11,1.2283999950568614e-06,1.228380000384277e-06
Silica [M+Na]+,Silica,,SiO2,NaO2Si,sodiated,82.9565247716,59.96675577162,82.95652477162,59.966757,82.956526,1.999467258428922e-11,1.2283999950568614e-06,1.228380000384277e-06
Silica [M+K]+,Silica,,SiO2,KO2Si,potassiated,98.9304627716,59.96675577162,98.93046277162,59.966757,98.930464,1.999467258428922e-11,1.2283999950568614e-06,1.228380000384277e-06
Silica [2M+H]+,Silica,,O4Si2,HO4Si2,dimer_protonated,119.9335115432,119.93351154324,120.94133654324,119.933514,120.941339,1.0078250000400004,1.0078274568000012,2.456760000768554e-06
Isopropanol [M+H]+,Isopropanol,,C3H8O,C3H9O,protonated,61.0653398761,60.05751487612,61.06533987612,60.057515,61.06534,2.000177801164682e-11,1.2390000136974777e-07,1.2387999959173612e-07
Isopropanol [M+NH4]+,Isopropanol,,C3H8O,C3H12NO,ammoniated,78.0913378761,60.05751487612,78.09133787612001,60.057515,78.09133800000001,2.000888343900442e-11,1.2390000847517513e-07,1.2387999959173612e-07
Isopropanol [M+Na]+,Isopropanol,,C3H8O,C3H8NaO,sodiated,83.0472838761,60.05751487612,83.04728387612,60.057515,83.047284,2.000888343900442e-11,1.2390000847517513e-07,1.2387999959173612e-07
Isopropanol [M+K]+,Isopropanol,,C3H8O,C3H8KO,potassiated,99.0212218761,60.05751487612,99.02122187612,60.057515,99.021222,1.999467258428922e-11,1.238999942643204e-07,1.2387999959173612e-07
Isopropanol [2M+H]+,Isopropanol,,C6H16O2,C6H17O2,dimer_protonated,120.1150297522,120.11502975224,121.12285475224,120.11503,121.122855,1.0078250000400004,1.0078252477999996,2.4775999918347225e-07
Isopropanol [M-H2O+H]+,Isopropanol,,C3H6,C3H7,dehydrated_protonated,42.0469501924,42.04695019242,25.03912519242,42.04695,25.039125000000002,17.00782499998,17.007825192399995,1.9241999638097695e-07
"1,2-Ethylenediamine [M+H]+","1,2-Ethylenediamine",,C2H8N2,C2H9N2,protonated,61.0765732662,60.06874826616,61.07657326616,60.068748,61.076572999999996,4.000355602329364e-11,2.6620000426191837e-07,2.6616000070589507e-07
"1,2-Ethylenediamine [M+NH4]+","1,2-Ethylenediamine",,C2H8N2,C2H12N3,ammoniated,78.1025712662,60.06874826616,78.10257126616,60.068748,78.102571,4.000355602329364e-11,2.6620000426191837e-07,2.6616000070589507e-07
"1,2-Ethylenediamine [M+Na]+","1,2-Ethylenediamine",,C2H8N2,C2H8N2Na,sodiated,83.0585172662,60.06874826616,83.05851726616,60.068748,83.058517,4.000355602329364e-11,2.6620000426191837e-07,2.6616000070589507e-07
"1,2-Ethylenediamine [M+K]+","1,2-Ethylenediamine",,C2H8N2,C2H8KN2,potassiated,99.0324552662,60.06874826616,99.03245526616,60.068748,99.032455,4.000355602329364e-11,2.6620000426191837e-07,2.6616000070589507e-07
"1,2-Ethylenediamine [2M+H]+","1,2-Ethylenediamine",,C4H16N4,C4H17N4,dimer_protonated,120.1374965323,120.13749653232,121.14532153232,120.137496,121.145321,1.0078250000199915,1.0078244676999901,5.323200014117901e-07
Ethylene glycol [M+H]+,Ethylene glycol,,C2H6O2,C2H7O2,protonated,63.0446044315,62.03677943154,63.044604431539994,62.03678,63.044605,3.999645059593604e-11,5.684999990762662e-07,5.684600026256703e-07
Ethylene glycol [M+NH4]+,Ethylene glycol,,C2H6O2,C2H10NO2,ammoniated,80.0706024315,62.03677943154,80.07060243154,62.03678,80.070603,3.998934516857844e-11,5.684999990762662e-07,5.684600097310977e-07
Ethylene glycol [M+Na]+,Ethylene glycol,,C2H6O2,C2H6NaO2,sodiated,85.0265484315,62.03677943154,85.02654843154,62.03678,85.026549,3.998934516857844e-11,5.684999990762662e-07,5.684600097310977e-07
Ethylene glycol [M+K]+,Ethylene glycol,,C2H6O2,C2H6KO2,potassiated,101.0004864315,62.03677943154,101.00048643154,62.03678,101.00048699999999,4.000355602329364e-11,5.684999990762662e-07,5.68459995520243e-07
Ethylene glycol [2M+H]+,Ethylene glycol,,C4H12O4,C4H13O4,dimer_protonated,124.0735588631,124.07355886308,125.08138386307999,124.07356,125.081385,1.007824999979988,1.0078261368999932,1.1369200052513406e-06
Ethylene glycol [M-H2O+H]+,Ethylene glycol,,C2H4O,C2H5O,dehydrated_protonated,44.0262147478,44.02621474784,27.01838974784,44.026215,27.01839,17.007824999959997,17.007824747799997,2.521599995475299e-07
Nitric acid [M+H]+,Nitric acid,,HNO3,H2NO3,protonated,64.0034678956,62.99564289555,64.00346789555,62.995644000000006,64.00346900000001,4.999378688808065e-11,1.1044000132187648e-06,1.1044500070056529e-06
Nitric acid [M+NH4]+,Nitric acid,,HNO3,H5N2O3,ammoniated,81.0294658956,62.99564289555,81.02946589555,62.995644000000006,81.02946700000001,4.999378688808065e-11,1.1044000132187648e-06,1.1044500070056529e-06
Nitric acid [M+Na]+,Nitric acid,,HNO3,HNNaO3,sodiated,85.9854118956,62.99564289555,85.98541189555,62.995644000000006,85.98541300000001,4.999378688808065e-11,1.1044000132187648e-06,1.1044500070056529e-06
Nitric acid [M+K]+,Nitric acid,,HNO3,HKNO3,potassiated,101.9593498955,62.99564289555,101.95934989554999,62.995644000000006,101.959351,4.999378688808065e-11,1.104500000792541e-06,1.1044500070056529e-06
Nitric acid [2M+H]+,Nitric acid,,H2N2O6,H3N2O6,dimer_protonated,125.9912857911,125.9912857911,126.9991107911,125.99128800000001,126.99911300000001,1.0078249999999969,1.0078272089000109,2.2089000140113058e-06
DMSO [M+H]+,DMSO,,C2H6OS,C2H7OS,protonated,79.0217608120,78.01393581197999,79.02176081197999,78.013936,79.021761,2.000888343900442e-11,1.8800000134433503e-07,1.8802001022777404e-07
DMSO [M+NH4]+,DMSO,,C2H6OS,C2H10NOS,ammoniated,96.0477588120,78.01393581197999,96.04775881197999,78.013936,96.047759,2.000888343900442e-11,1.8800000134433503e-07,1.8802001022777404e-07
DMSO [M+Na]+,DMSO,,C2H6OS,C2H6NaOS,sodiated,101.0037048120,78.01393581197999,101.00370481197999,78.013936,101.003705,2.000888343900442e-11,1.8800000134433503e-07,1.8802001022777404e-07
DMSO [M+K]+,DMSO,,C2H6OS,C2H6KOS,potassiated,116.9776428120,78.01393581197999,116.97764281197999,78.013936,116.977643,2.000888343900442e-11,1.8800000134433503e-07,1.8802001022777404e-07
DMSO [2M+H]+,DMSO,,C4H12O2S2,C4H13O2S2,dimer_protonated,156.0278716240,156.02787162395998,157.03569662395998,156.027872,157.035697,1.007824999959979,1.0078253759999996,3.760400204555481e-07
DMSO-d6 [M+H]+,DMSO-d6,,C2D6OS,C2HD6OS,protonated,85.0594212864,84.05159628636,85.05942128635999,84.051598,85.059423,4.000355602329364e-11,1.7135999996753526e-06,1.7136400032313759e-06
DMSO-d6 [M+NH4]+,DMSO-d6,,C2D6OS,C2H4D6NOS,ammoniated,102.0854192864,84.05159628636,102.08541928636,84.051598,102.085421,4.000355602329364e-11,1.7135999996753526e-06,1.7136400032313759e-06
DMSO-d6 [M+Na]+,DMSO-d6,,C2D6OS,C2D6NaOS,sodiated,107.0413652864,84.05159628636,107.04136528635999,84.051598,107.041367,4.000355602329364e-11,1.7135999996753526e-06,1.7136400032313759e-06
DMSO-d6 [M+K]+,DMSO-d6,,C2D6OS,C2D6KOS,potassiated,123.0153032864,84.05159628636,123.01530328636,84.051598,123.015305,4.000355602329364e-11,1.7135999996753526e-06,1.7136400032313759e-06
DMSO-d6 [2M+H]+,DMSO-d6,,C4D12O2S2,C4HD12O2S2,dimer_protonated,168.1031925727,168.10319257272,169.11101757272,168.103196,169.111021,1.0078250000199773,1.0078284272999838,3.4272800064627518e-06
Piperidine [M+H]+,Piperidine,,C5H11N,C5H12N,protonated,86.0969743576,85.08914935757,86.09697435756999,85.08914899999999,86.09697399999999,3.001332515850663e-11,3.5760001537710195e-07,3.5757000205194345e-07
Piperidine [M+NH4]+,Piperidine,,C5H11N,C5H15N2,ammoniated,103.1229723576,85.08914935757,103.12297235756999,85.08914899999999,103.12297199999999,3.001332515850663e-11,3.5760001537710195e-07,3.5757000205194345e-07
Piperidine [M+Na]+,Piperidine,,C5H11N,C5H11NNa,sodiated,108.0789183576,85.08914935757,108.07891835756999,85.08914899999999,108.07891799999999,3.001332515850663e-11,3.5760001537710195e-07,3.5757000205194345e-07
Piperidine [M+K]+,Piperidine,,C5H11N,C5H11KN,potassiated,124.0528563576,85.08914935757,124.05285635757,85.08914899999999,124.05285599999999,3.001332515850663e-11,3.5760001537710195e-07,3.5757000205194345e-07
Piperidine [2M+H]+,Piperidine,,C10H22N2,C10H23N2,dimer_protonated,170.1782987151,170.17829871514,171.18612371513998,170.17829799999998,171.18612299999998,1.0078250000399862,1.007824284899982,7.151400041038869e-07
Hexanes [M+H]+,Hexanes,,C6H14,C6H15,protonated,87.1173754490,86.10955044898,87.11737544898,86.10955,87.117375,1.999467258428922e-11,4.489999980705761e-07,4.489800033979918e-07
Hexanes [M+NH4]+,Hexanes,,C6H14,C6H18N,ammoniated,104.1433734490,86.10955044898,104.14337344898,86.10955,104.143373,1.999467258428922e-11,4.489999980705761e-07,4.489800033979918e-07
Hexanes [M+Na]+,Hexanes,,C6H14,C6H14Na,sodiated,109.0993194490,86.10955044898,109.09931944898,86.10955,109.099319,2.000888343900442e-11,4.4900001228143083e-07,4.489800033979918e-07
Hexanes [M+K]+,Hexanes,,C6H14,C6H14K,potassiated,125.0732574490,86.10955044898,125.07325744898,86.10955,125.073257,1.999467258428922e-11,4.489999980705761e-07,4.489800033979918e-07
Hexanes [2M+H]+,Hexanes,,C12H28,C12H29,dimer_protonated,172.2191008980,172.21910089796,173.22692589796,172.2191,173.226925,1.0078249999600075,1.0078241020000007,8.979600067959836e-07
Toluene [M+H]+,Toluene,,C7H8,C7H9,protonated,93.0704252566,92.06260025656,93.07042525656,92.0626,93.070425,4.000355602329364e-11,2.566000034676108e-07,2.565599999115875e-07
Toluene [M+NH4]+,Toluene,,C7H8,C7H12N,ammoniated,110.0964232566,92.06260025656,110.09642325656,92.0626,110.096423,4.000355602329364e-11,2.566000034676108e-07,2.565599999115875e-07
Toluene [M+Na]+,Toluene,,C7H8,C7H8Na,sodiated,115.0523692566,92.06260025656,115.05236925656,92.0626,115.052369,4.000355602329364e-11,2.566000034676108e-07,2.565599999115875e-07
Toluene [M+K]+,Toluene,,C7H8,C7H8K,potassiated,131.0263072566,92.06260025656,131.02630725656002,92.0626,131.026307,3.998934516857844e-11,2.566000034676108e-07,2.565600141224422e-07
Toluene [2M+H]+,Toluene,,C14H16,C14H17,dimer_protonated,184.1252005131,184.12520051312,185.13302551312,184.1252,185.133025,1.0078250000200057,1.007824486900006,5.13119999823175e-07
Aniline [M+H]+,Aniline,,C6H7N,C6H8N,protonated,94.0656742293,93.05784922929,94.06567422929,93.057849,94.065674,1.000444171950221e-11,2.2929999943244184e-07,2.2928999499072233e-07
Aniline [M+NH4]+,Aniline,,C6H7N,C6H11N2,ammoniated,111.0916722293,93.05784922929,111.09167222929,93.057849,111.091672,1.000444171950221e-11,2.2929999943244184e-07,2.2928999499072233e-07
Aniline [M+Na]+,Aniline,,C6H7N,C6H7NNa,sodiated,116.0476182293,93.05784922929,116.04761822929,93.057849,116.047618,1.000444171950221e-11,2.2929999943244184e-07,2.2928999499072233e-07
Aniline [M+K]+,Aniline,,C6H7N,C6H7KN,potassiated,132.0215562293,93.05784922929,132.02155622929,93.057849,132.021556,9.976020010071807e-12,2.2929998522158712e-07,2.2929000920157705e-07
Aniline [2M+H]+,Aniline,,C12H14N2,C12H15N2,dimer_protonated,186.1156984586,186.11569845858,187.12352345858,186.115698,187.123523,1.007824999979988,1.007824541399998,4.5857998998144467e-07
Silicic acid [M+H]+,Silicic acid,,H4SiO4,H5O4Si,protonated,96.9957101390,95.98788513902,96.99571013901999,95.987887,96.995712,1.999467258428922e-11,1.8610000012131422e-06,1.860980006540558e-06
Silicic acid [M+NH4]+,Silicic acid,,H4SiO4,H8NO4Si,ammoniated,114.0217081390,95.98788513902,114.02170813901999,95.987887,114.02171,1.999467258428922e-11,1.8610000012131422e-06,1.860980006540558e-06
Silicic acid [M+Na]+,Silicic acid,,H4SiO4,H4NaO4Si,sodiated,118.9776541390,95.98788513902,118.97765413901999,95.987887,118.977656,1.999467258428922e-11,1.8610000012131422e-06,1.860980006540558e-06
Silicic acid [M+K]+,Silicic acid,,H4SiO4,H4KO4Si,potassiated,134.9515921390,95.98788513902,134.95159213902,95.987887,134.951594,1.9980461729574017e-11,1.8609999870022875e-06,1.860980006540558e-06
Silicic acid [2M+H]+,Silicic acid,,H8O8Si2,H9O8Si2,dimer_protonated,191.9757702780,191.97577027804,192.98359527803999,191.975774,192.983599,1.0078250000399862,1.0078287219999993,3.721960013081116e-06
Phosphoric acid [M+H]+,Phosphoric acid,,H3PO4,H4O4P,protonated,98.9847202044,97.97689520444999,98.98472020444999,97.97689700000001,98.984722,4.997957603336545e-11,1.7955999993546357e-06,1.7955500197786023e-06
Phosphoric acid [M+NH4]+,Phosphoric acid,,H3PO4,H7NO4P,ammoniated,116.0107182044,97.97689520444999,116.01071820444999,97.97689700000001,116.01072,4.997957603336545e-11,1.7955999993546357e-06,1.7955500197786023e-06
Phosphoric acid [M+Na]+,Phosphoric acid,,H3PO4,H3NaO4P,sodiated,120.9666642044,97.97689520444999,120.96666420444998,97.97689700000001,120.966666,4.997957603336545e-11,1.7955999993546357e-06,1.7955500197786023e-06
Phosphoric acid [M+K]+,Phosphoric acid,,H3PO4,H3KO4P,potassiated,136.9406022044,97.97689520444999,136.94060220445,97.97689700000001,136.940604,4.999378688808065e-11,1.7956000135654904e-06,1.7955500197786023e-06
Phosphoric acid [2M+H]+,Phosphoric acid,,H6O8P2,H7O8P2,dimer_protonated,195.9537904089,195.9537904089,196.9616154089,195.95379400000002,196.961619,1.0078249999999969,1.007828591100008,3.591100011135495e-06
Triethylamine [M+H]+,Triethylamine,,C6H15N,C6H16N,protonated,102.1282744858,101.12044948585,102.12827448585,101.120449,102.12827399999999,4.999378688808065e-11,4.858000153262765e-07,4.858500091131646e-07
Triethylamine [M+NH4]+,Triethylamine,,C6H15N,C6H19N2,ammoniated,119.1542724859,101.12044948585,119.15427248585,101.120449,119.15427199999999,4.999378688808065e-11,4.859000029000526e-07,4.858500091131646e-07
Triethylamine [M+Na]+,Triethylamine,,C6H15N,C6H15NNa,sodiated,124.1102184858,101.12044948585,124.11021848585,101.120449,124.11021799999999,4.999378688808065e-11,4.858000153262765e-07,4.858500091131646e-07
Triethylamine [M+K]+,Triethylamine,,C6H15N,C6H15KN,potassiated,140.0841564859,101.12044948585,140.08415648585,101.120449,140.084156,4.999378688808065e-11,4.858999886891979e-07,4.858499949023098e-07
Triethylamine [2M+H]+,Triethylamine,,C12H30N2,C12H31N2,dimer_protonated,202.2408989717,202.2408989717,203.2487239717,202.240898,203.24872299999998,1.0078249999999969,1.0078240282999786,9.717000182263291e-07
Selenium dioxide [M+H]+,Selenium dioxide,80Se,SeO2,HO2Se,protonated,112.9141755391,111.90635053912,112.91417553912,111.906352,112.914177,1.999467258428922e-11,1.4608999947540724e-06,1.4608800000814881e-06
Selenium dioxide [M+NH4]+,Selenium dioxide,80Se,SeO2,H4NO2Se,ammoniated,129.9401735391,111.90635053912,129.94017353912,111.906352,129.940175,2.000888343900442e-11,1.4609000231757818e-06,1.4608800142923428e-06
Selenium dioxide [M+Na]+,Selenium dioxide,80Se,SeO2,NaO2Se,sodiated,134.8961195391,111.90635053912,134.89611953912,111.906352,134.896121,2.000888343900442e-11,1.4608999947540724e-06,1.4608799858706334e-06
Selenium dioxide [M+K]+,Selenium dioxide,80Se,SeO2,KO2Se,potassiated,150.8700575391,111.90635053912,150.87005753912,111.906352,150.870059,2.000888343900442e-11,1.4608999947540724e-06,1.4608799858706334e-06
Selenium dioxide [2M+H]+,Selenium dioxide,80Se,O4Se2,HO4Se2,dimer_protonated,223.8127010782,223.81270107824,224.82052607824,223.812704,224.820529,1.0078250000399862,1.0078279217999864,2.9217600001629762e-06
PBG fragment 1 [M+H]+,PBG fragment 1,,C7H7NO,C7H8NO,protonated,122.0605888488,121.05276384884999,122.06058884884999,121.05276400000001,122.06058900000001,4.999378688808065e-11,1.512000125103441e-07,1.5115001872345601e-07
PBG fragment 1 [M+NH4]+,PBG fragment 1,,C7H7NO,C7H11N2O,ammoniated,139.0865868489,121.05276384884999,139.08658684885,121.05276400000001,139.086587,4.999378688808065e-11,1.5110001072571322e-07,1.511500045126013e-07
PBG fragment 1 [M+Na]+,PBG fragment 1,,C7H7NO,C7H7NNaO,sodiated,144.0425328488,121.05276384884999,144.04253284885,121.05276400000001,144.04253300000002,4.999378688808065e-11,1.512000267211988e-07,1.5115003293431073e-07
PBG fragment 1 [M+K]+,PBG fragment 1,,C7H7NO,C7H7KNO,potassiated,160.0164708488,121.05276384884999,160.01647084885,121.05276400000001,160.01647100000002,4.999378688808065e-11,1.512000267211988e-07,1.5115003293431073e-07
PBG fragment 1 [2M+H]+,PBG fragment 1,,C14H14N2O2,C14H15N2O2,dimer_protonated,242.1055276977,242.10552769769998,243.11335269769998,242.10552800000002,243.11335300000002,1.0078249999999684,1.0078253023000059,3.0230003744691203e-07
PBG fragment 2 [M+H]+,PBG fragment 2,,C7H8O2,C7H9O2,protonated,125.0602544957,124.05242949568,125.06025449568,124.05243,125.060255,1.999467258428922e-11,5.043000044224755e-07,5.043199990950598e-07
PBG fragment 2 [M+NH4]+,PBG fragment 2,,C7H8O2,C7H12NO2,ammoniated,142.0862524957,124.05242949568,142.08625249568001,124.05243,142.086253,1.9980461729574017e-11,5.043000044224755e-07,5.04319984884205e-07
PBG fragment 2 [M+Na]+,PBG fragment 2,,C7H8O2,C7H8NaO2,sodiated,147.0421984957,124.05242949568,147.04219849568,124.05243,147.042199,2.000888343900442e-11,5.043000044224755e-07,5.043200133059145e-07
PBG fragment 2 [M+K]+,PBG fragment 2,,C7H8O2,C7H8KO2,potassiated,163.0161364957,124.05242949568,163.01613649568,124.05243,163.01613700000001,2.000888343900442e-11,5.043000044224755e-07,5.043200133059145e-07
PBG fragment 2 [2M+H]+,PBG fragment 2,,C14H16O4,C14H17O4,dimer_protonated,248.1048589914,248.10485899136,249.11268399136,248.10486,249.112685,1.0078249999600075,1.0078260086000057,1.0086399981901195e-06
Quinoline [M+H]+,Quinoline,,C9H7N,C9H8N,protonated,130.0656742293,129.05784922929,130.06567422929,129.057849,130.065674,9.976020010071807e-12,2.2929998522158712e-07,2.2929000920157705e-07
Quinoline [M+NH4]+,Quinoline,,C9H7N,C9H11N2,ammoniated,147.0916722293,129.05784922929,147.09167222929003,129.057849,147.09167200000002,9.976020010071807e-12,2.2929998522158712e-07,2.2929000920157705e-07
Quinoline [M+Na]+,Quinoline,,C9H7N,C9H7NNa,sodiated,152.0476182293,129.05784922929,152.04761822929,129.057849,152.047618,1.000444171950221e-11,2.2930001364329655e-07,2.2929000920157705e-07
Quinoline [M+K]+,Quinoline,,C9H7N,C9H7KN,potassiated,168.0215562293,129.05784922929,168.02155622929,129.057849,168.021556,9.976020010071807e-12,2.2929998522158712e-07,2.2929000920157705e-07
Quinoline [2M+H]+,Quinoline,,C18H14N2,C18H15N2,dimer_protonated,258.1156984586,258.11569845858,259.12352345858005,258.115698,259.12352300000003,1.0078249999800732,1.0078245414000548,4.585800184031541e-07
Selenic acid [M+H]+,Selenic acid,80Se,H2SeO4,H3O4Se,protonated,146.9196548424,145.91182984238,146.91965484238,145.911832,146.919657,2.000888343900442e-11,2.157599993779513e-06,2.157620002662952e-06
