compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz
DMSO [2M+H]+,DMSO,,C4H12O2S2,C4H13O2S2,dimer_protonated,156.0278716240
DMSO-d6 [M+H]+,DMSO-d6,,C2D6OS,C2HD6OS,protonated,85.0594212864
DMSO-d6 [M+NH4]+,DMSO-d6,,C2D6OS,C2H4D6NOS,ammoniated,102.0854192864
DMSO-d6 [M+Na]+,DMSO-d6,,C2D6OS,C2D6NaOS,sodiated,107.0413652864
DMSO-d6 [M+K]+,DMSO-d6,,C2D6OS,C2D6KOS,potassiated,123.0153032864
DMSO-d6 [2M+H]+,DMSO-d6,,C4D12O2S2,C4HD12O2S2,dimer_protonated,168.1031925727
Piperidine [M+H]+,Piperidine,,C5H11N,C5H12N,protonated,86.0969743576
Piperidine [M+NH4]+,Piperidine,,C5H11N,C5H15N2,ammoniated,103.1229723576
Piperidine [M+Na]+,Piperidine,,C5H11N,C5H11NNa,sodiated,108.0789183576
Piperidine [M+K]+,Piperidine,,C5H11N,C5H11KN,potassiated,124.0528563576
Piperidine [2M+H]+,Piperidine,,C10H22N2,C10H23N2,dimer_protonated,170.1782987151
Hexanes [M+H]+,Hexanes,,C6H14,C6H15,protonated,87.1173754490
Hexanes [M+NH4]+,Hexanes,,C6H14,C6H18N,ammoniated,104.1433734490
Hexanes [M+Na]+,Hexanes,,C6H14,C6H14Na,sodiated,109.0993194490
Hexanes [M+K]+,Hexanes,,C6H14,C6H14K,potassiated,125.0732574490
Hexanes [2M+H]+,Hexanes,,C12H28,C12H29,dimer_protonated,172.2191008980
Toluene [M+H]+,Toluene,,C7H8,C7H9,protonated,93.0704252566
Toluene [M+NH4]+,Toluene,,C7H8,C7H12N,ammoniated,110.0964232566
Toluene [M+Na]+,Toluene,,C7H8,C7H8Na,sodiated,115.0523692566
Toluene [M+K]+,Toluene,,C7H8,C7H8K,potassiated,131.0263072566
Toluene [2M+H]+,Toluene,,C14H16,C14H17,dimer_protonated,184.1252005131
Aniline [M+H]+,Aniline,,C6H7N,C6H8N,protonated,94.0656742293
Aniline [M+NH4]+,Aniline,,C6H7N,C6H11N2,ammoniated,111.0916722293
Aniline [M+Na]+,Aniline,,C6H7N,C6H7NNa,sodiated,116.0476182293
Aniline [M+K]+,Aniline,,C6H7N,C6H7KN,potassiated,132.0215562293
Aniline [2M+H]+,Aniline,,C12H14N2,C12H15N2,dimer_protonated,186.1156984586
Silicic acid [M+H]+,Silicic acid,,H4SiO4,H5O4Si,protonated,96.9957101390
Silicic acid [M+NH4]+,Silicic acid,,H4SiO4,H8NO4Si,ammoniated,114.0217081390
Silicic acid [M+Na]+,Silicic acid,,H4SiO4,H4NaO4Si,sodiated,118.9776541390
Silicic acid [M+K]+,Silicic acid,,H4SiO4,H4KO4Si,potassiated,134.9515921390
Silicic acid [2M+H]+,Silicic acid,,H8O8Si2,H9O8Si2,dimer_protonated,191.9757702780
Phosphoric acid [M+H]+,Phosphoric acid,,H3PO4,H4O4P,protonated,98.9847202044
Phosphoric acid [M+NH4]+,Phosphoric acid,,H3PO4,H7NO4P,ammoniated,116.0107182044
Phosphoric acid [M+Na]+,Phosphoric acid,,H3PO4,H3NaO4P,sodiated,120.9666642044
Phosphoric acid [M+K]+,Phosphoric acid,,H3PO4,H3KO4P,potassiated,136.9406022044
Phosphoric acid [2M+H]+,Phosphoric acid,,H6O8P2,H7O8P2,dimer_protonated,195.9537904089
Triethylamine [M+H]+,Triethylamine,,C6H15N,C6H16N,protonated,102.1282744858
Triethylamine [M+NH4]+,Triethylamine,,C6H15N,C6H19N2,ammoniated,119.1542724859
Triethylamine [M+Na]+,Triethylamine,,C6H15N,C6H15NNa,sodiated,124.1102184858
Triethylamine [M+K]+,Triethylamine,,C6H15N,C6H15KN,potassiated,140.0841564859
Triethylamine [2M+H]+,Triethylamine,,C12H30N2,C12H31N2,dimer_protonated,202.2408989717
Selenium dioxide [M+H]+,Selenium dioxide,80Se,SeO2,HO2Se,protonated,112.9141755391
Selenium dioxide [M+NH4]+,Selenium dioxide,80Se,SeO2,H4NO2Se,ammoniated,129.9401735391
Selenium dioxide [M+Na]+,Selenium dioxide,80Se,SeO2,NaO2Se,sodiated,134.8961195391
Selenium dioxide [M+K]+,Selenium dioxide,80Se,SeO2,KO2Se,potassiated,150.8700575391
Selenium dioxide [2M+H]+,Selenium dioxide,80Se,O4Se2,HO4Se2,dimer_protonated,223.8127010782
PBG fragment 1 [M+H]+,PBG fragment 1,,C7H7NO,C7H8NO,protonated,122.0605888488
PBG fragment 1 [M+NH4]+,PBG fragment 1,,C7H7NO,C7H11N2O,ammoniated,139.0865868489
PBG fragment 1 [M+Na]+,PBG fragment 1,,C7H7NO,C7H7NNaO,sodiated,144.0425328488
PBG fragment 1 [M+K]+,PBG fragment 1,,C7H7NO,C7H7KNO,potassiated,160.0164708488
PBG fragment 1 [2M+H]+,PBG fragment 1,,C14H14N2O2,C14H15N2O2,dimer_protonated,242.1055276977
PBG fragment 2 [M+H]+,PBG fragment 2,,C7H8O2,C7H9O2,protonated,125.0602544957
