compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type
Hexanes [M+H]+,Hexanes,,C6H14,C6H15,protonated
Hexanes [M+NH4]+,Hexanes,,C6H14,C6H18N,ammoniated
Hexanes [M+Na]+,Hexanes,,C6H14,C6H14Na,sodiated
Hexanes [M+K]+,Hexanes,,C6H14,C6H14K,potassiated
Hexanes [2M+H]+,Hexanes,,C12H28,C12H29,dimer_protonated
Toluene [M+H]+,Toluene,,C7H8,C7H9,protonated
Toluene [M+NH4]+,Toluene,,C7H8,C7H12N,ammoniated
Toluene [M+Na]+,Toluene,,C7H8,C7H8Na,sodiated
Toluene [M+K]+,Toluene,,C7H8,C7H8K,potassiated
Toluene [2M+H]+,Toluene,,C14H16,C14H17,dimer_protonated
Aniline [M+H]+,Aniline,,C6H7N,C6H8N,protonated
Aniline [M+NH4]+,Aniline,,C6H7N,C6H11N2,ammoniated
Aniline [M+Na]+,Aniline,,C6H7N,C6H7NNa,sodiated
Aniline [M+K]+,Aniline,,C6H7N,C6H7KN,potassiated
Aniline [2M+H]+,Aniline,,C12H14N2,C12H15N2,dimer_protonated
Silicic acid [M+H]+,Silicic acid,,H4SiO4,H5O4Si,protonated
Silicic acid [M+NH4]+,Silicic acid,,H4SiO4,H8NO4Si,ammoniated
Silicic acid [M+Na]+,Silicic acid,,H4SiO4,H4NaO4Si,sodiated
Silicic acid [M+K]+,Silicic acid,,H4SiO4,H4KO4Si,potassiated
Silicic acid [2M+H]+,Silicic acid,,H8O8Si2,H9O8Si2,dimer_protonated
Phosphoric acid [M+H]+,Phosphoric acid,,H3PO4,H4O4P,protonated
Phosphoric acid [M+NH4]+,Phosphoric acid,,H3PO4,H7NO4P,ammoniated
Phosphoric acid [M+Na]+,Phosphoric acid,,H3PO4,H3NaO4P,sodiated
Phosphoric acid [M+K]+,Phosphoric acid,,H3PO4,H3KO4P,potassiated
Phosphoric acid [2M+H]+,Phosphoric acid,,H6O8P2,H7O8P2,dimer_protonated
Triethylamine [M+H]+,Triethylamine,,C6H15N,C6H16N,protonated
Triethylamine [M+NH4]+,Triethylamine,,C6H15N,C6H19N2,ammoniated
