compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type
Trioctylphosphine selenide [M+Na]+,Trioctylphosphine selenide,74Se,C24H51PSe,C24H51NaPSe,sodiated
Trioctylphosphine selenide [M+K]+,Trioctylphosphine selenide,74Se,C24H51PSe,C24H51KPSe,potassiated
Trioctylphosphine selenide [2M+H]+,Trioctylphosphine selenide,74Se,C48H102PSe2,C48H103PSe2,dimer_protonated
Trioctylphosphine selenide [M+H]+,Trioctylphosphine selenide,76Se,C24H51PSe,C24H52PSe,protonated
Trioctylphosphine selenide [M+NH4]+,Trioctylphosphine selenide,76Se,C24H51PSe,C24H55NPSe,ammoniated
Trioctylphosphine selenide [M+Na]+,Trioctylphosphine selenide,76Se,C24H51PSe,C24H51NaPSe,sodiated
Trioctylphosphine selenide [M+K]+,Trioctylphosphine selenide,76Se,C24H51PSe,C24H51KPSe,potassiated
Trioctylphosphine selenide [2M+H]+,Trioctylphosphine selenide,76Se,C48H102PSe2,C48H103PSe2,dimer_protonated
Trioctylphosphine selenide [M+H]+,Trioctylphosphine selenide,77Se,C24H51PSe,C24H52PSe,protonated
Trioctylphosphine selenide [M+NH4]+,Trioctylphosphine selenide,77Se,C24H51PSe,C24H55NPSe,ammoniated
Trioctylphosphine selenide [M+Na]+,Trioctylphosphine selenide,77Se,C24H51PSe,C24H51NaPSe,sodiated
Trioctylphosphine selenide [M+K]+,Trioctylphosphine selenide,77Se,C24H51PSe,C24H51KPSe,potassiated
Trioctylphosphine selenide [2M+H]+,Trioctylphosphine selenide,77Se,C48H102PSe2,C48H103PSe2,dimer_protonated
Trioctylphosphine selenide [M+H]+,Trioctylphosphine selenide,78Se,C24H51PSe,C24H52PSe,protonated
Trioctylphosphine selenide [M+NH4]+,Trioctylphosphine selenide,78Se,C24H51PSe,C24H55NPSe,ammoniated
Trioctylphosphine selenide [M+Na]+,Trioctylphosphine selenide,78Se,C24H51PSe,C24H51NaPSe,sodiated
Trioctylphosphine selenide [M+K]+,Trioctylphosphine selenide,78Se,C24H51PSe,C24H51KPSe,potassiated
Trioctylphosphine selenide [2M+H]+,Trioctylphosphine selenide,78Se,C48H102PSe2,C48H103PSe2,dimer_protonated
TOPSe [M+H]+,TOPSe,,C24H51PSe,C24H52PSe,protonated
TOPSe [M+NH4]+,TOPSe,,C24H51PSe,C24H55NPSe,ammoniated
TOPSe [M+Na]+,TOPSe,,C24H51PSe,C24H51NaPSe,sodiated
TOPSe [M+K]+,TOPSe,,C24H51PSe,C24H51KPSe,potassiated
TOPSe [2M+H]+,TOPSe,,C48H102P2Se2,C48H103P2Se2,dimer_protonated
Trioctylphosphine selenide [M+H]+,Trioctylphosphine selenide,80Se,C24H51PSe,C24H52PSe,protonated
Trioctylphosphine selenide [M+NH4]+,Trioctylphosphine selenide,80Se,C24H51PSe,C24H55NPSe,ammoniated
Trioctylphosphine selenide [M+Na]+,Trioctylphosphine selenide,80Se,C24H51PSe,C24H51NaPSe,sodiated
Trioctylphosphine selenide [M+K]+,Trioctylphosphine selenide,80Se,C24H51PSe,C24H51KPSe,potassiated
Trioctylphosphine selenide [2M+H]+,Trioctylphosphine selenide,80Se,C48H102PSe2,C48H103PSe2,dimer_protonated
Trioctylphosphine selenide [M+H]+,Trioctylphosphine selenide,82Se,C24H51PSe,C24H52PSe,protonated
Trioctylphosphine selenide [M+NH4]+,Trioctylphosphine selenide,82Se,C24H51PSe,C24H55NPSe,ammoniated
Trioctylphosphine selenide [M+Na]+,Trioctylphosphine selenide,82Se,C24H51PSe,C24H51NaPSe,sodiated
Trioctylphosphine selenide [M+K]+,Trioctylphosphine selenide,82Se,C24H51PSe,C24H51KPSe,potassiated
Trioctylphosphine selenide [2M+H]+,Trioctylphosphine selenide,82Se,C48H102PSe2,C48H103PSe2,dimer_protonated
Lead [M+H]+,Lead,204Pb,PbI2,HI2Pb,protonated
Lead [M+NH4]+,Lead,204Pb,PbI2,H4I2NPb,ammoniated
Lead [M+Na]+,Lead,204Pb,PbI2,I2NaPb,sodiated
Lead [M+K]+,Lead,204Pb,PbI2,I2KPb,potassiated
Lead [2M+H]+,Lead,204Pb,I4Pb2,HI4Pb2,dimer_protonated
Lead palmitate [M+H]+,Lead palmitate,,PbC32H62O4,C32H63O4Pb,protonated
Lead palmitate [M+NH4]+,Lead palmitate,,PbC32H62O4,C32H66NO4Pb,ammoniated
Lead palmitate [M+Na]+,Lead palmitate,,PbC32H62O4,C32H62NaO4Pb,sodiated
Lead palmitate [M+K]+,Lead palmitate,,PbC32H62O4,C32H62KO4Pb,potassiated
Lead palmitate [2M+H]+,Lead palmitate,,C64H124O8Pb2,C64H125O8Pb2,dimer_protonated
Lead linoleate [M+H]+,Lead linoleate,204Pb,PbC36H62O4,C36H63O4Pb,protonated
Lead linoleate [M+NH4]+,Lead linoleate,204Pb,PbC36H62O4,C36H66NO4Pb,ammoniated
Lead linoleate [M+Na]+,Lead linoleate,204Pb,PbC36H62O4,C36H62NaO4Pb,sodiated
Lead linoleate [M+K]+,Lead linoleate,204Pb,PbC36H62O4,C36H62KO4Pb,potassiated
Lead linoleate [2M+H]+,Lead linoleate,204Pb,C72H124O8Pb2,C72H125O8Pb2,dimer_protonated
Lead oleate [M+H]+,Lead oleate,204Pb,PbC36H66O4,C36H67O4Pb,protonated
Lead oleate [M+NH4]+,Lead oleate,204Pb,PbC36H66O4,C36H70NO4Pb,ammoniated
Lead oleate [M+Na]+,Lead oleate,204Pb,PbC36H66O4,C36H66NaO4Pb,sodiated
Lead oleate [M+K]+,Lead oleate,204Pb,PbC36H66O4,C36H66KO4Pb,potassiated
Lead oleate [2M+H]+,Lead oleate,204Pb,C72H132O8Pb2,C72H133O8Pb2,dimer_protonated
3-Mercaptopropylsilanetriol [M+H]+,3-Mercaptopropylsilanetriol,,C3H10O3SSi,C3H11O3SSi,protonated
3-Mercaptopropylsilanetriol [M+NH4]+,3-Mercaptopropylsilanetriol,,C3H10O3SSi,C3H14NO3SSi,ammoniated
3-Mercaptopropylsilanetriol [M+Na]+,3-Mercaptopropylsilanetriol,,C3H10O3SSi,C3H10NaO3SSi,sodiated
3-Mercaptopropylsilanetriol [M+K]+,3-Mercaptopropylsilanetriol,,C3H10O3SSi,C3H10KO3SSi,potassiated
3-Mercaptopropylsilanetriol [2M+H]+,3-Mercaptopropylsilanetriol,,C6H20O6S2Si2,C6H21O6S2Si2,dimer_protonated
Hexamethylcyclotrisiloxane (D3) [M+H]+,Hexamethylcyclotrisiloxane (D3),,C6H18O3Si3,C6H19O3Si3,protonated
Hexamethylcyclotrisiloxane (D3) [M+NH4]+,Hexamethylcyclotrisiloxane (D3),,C6H18O3Si3,C6H22NO3Si3,ammoniated
Hexamethylcyclotrisiloxane (D3) [M+Na]+,Hexamethylcyclotrisiloxane (D3),,C6H18O3Si3,C6H18NaO3Si3,sodiated
Hexamethylcyclotrisiloxane (D3) [M+K]+,Hexamethylcyclotrisiloxane (D3),,C6H18O3Si3,C6H18KO3Si3,potassiated
Hexamethylcyclotrisiloxane (D3) [2M+H]+,Hexamethylcyclotrisiloxane (D3),,C12H36O6Si6,C12H37O6Si6,dimer_protonated
Octamethylcyclotetrasiloxane (D4) [M+H]+,Octamethylcyclotetrasiloxane (D4),,C8H24O4Si4,C8H25O4Si4,protonated
Octamethylcyclotetrasiloxane (D4) [M+NH4]+,Octamethylcyclotetrasiloxane (D4),,C8H24O4Si4,C8H28NO4Si4,ammoniated
Octamethylcyclotetrasiloxane (D4) [M+Na]+,Octamethylcyclotetrasiloxane (D4),,C8H24O4Si4,C8H24NaO4Si4,sodiated
Octamethylcyclotetrasiloxane (D4) [M+K]+,Octamethylcyclotetrasiloxane (D4),,C8H24O4Si4,C8H24KO4Si4,potassiated
Octamethylcyclotetrasiloxane (D4) [2M+H]+,Octamethylcyclotetrasiloxane (D4),,C16H48O8Si8,C16H49O8Si8,dimer_protonated
Decamethylcyclopentasiloxane (D5) [M+H]+,Decamethylcyclopentasiloxane (D5),,C10H30O5Si5,C10H31O5Si5,protonated
Decamethylcyclopentasiloxane (D5) [M+NH4]+,Decamethylcyclopentasiloxane (D5),,C10H30O5Si5,C10H34NO5Si5,ammoniated
Decamethylcyclopentasiloxane (D5) [M+Na]+,Decamethylcyclopentasiloxane (D5),,C10H30O5Si5,C10H30NaO5Si5,sodiated
Decamethylcyclopentasiloxane (D5) [M+K]+,Decamethylcyclopentasiloxane (D5),,C10H30O5Si5,C10H30KO5Si5,potassiated
Decamethylcyclopentasiloxane (D5) [2M+H]+,Decamethylcyclopentasiloxane (D5),,C20H60O10Si10,C20H61O10Si10,dimer_protonated
Diethylene glycol [M+H]+,Diethylene glycol,,C4H10O3,C4H11O3,protonated
Diethylene glycol [M+NH4]+,Diethylene glycol,,C4H10O3,C4H14NO3,ammoniated
Diethylene glycol [M+Na]+,Diethylene glycol,,C4H10O3,C4H10NaO3,sodiated
Diethylene glycol [M+K]+,Diethylene glycol,,C4H10O3,C4H10KO3,potassiated
Diethylene glycol [2M+H]+,Diethylene glycol,,C8H20O6,C8H21O6,dimer_protonated
Diethylene glycol [M-H2O+H]+,Diethylene glycol,,C4H8O2,C4H9O2,dehydrated_protonated
Triethylene glycol [M+H]+,Triethylene glycol,,C6H14O4,C6H15O4,protonated
Triethylene glycol [M+NH4]+,Triethylene glycol,,C6H14O4,C6H18NO4,ammoniated
Triethylene glycol [M+Na]+,Triethylene glycol,,C6H14O4,C6H14NaO4,sodiated
Triethylene glycol [M+K]+,Triethylene glycol,,C6H14O4,C6H14KO4,potassiated
Triethylene glycol [2M+H]+,Triethylene glycol,,C12H28O8,C12H29O8,dimer_protonated
Triethylene glycol [M-H2O+H]+,Triethylene glycol,,C6H12O3,C6H13O3,dehydrated_protonated
TBA fragment C12H28N [M+H]+,TBA fragment C12H28N,,C12H28N,C12H29N,protonated
TBA fragment C12H28N [M+NH4]+,TBA fragment C12H28N,,C12H28N,C12H32N2,ammoniated
TBA fragment C12H28N [M+Na]+,TBA fragment C12H28N,,C12H28N,C12H28NNa,sodiated
TBA fragment C12H28N [M+K]+,TBA fragment C12H28N,,C12H28N,C12H28KN,potassiated
TBA fragment C12H28N [2M+H]+,TBA fragment C12H28N,,C24H56N2,C24H57N2,dimer_protonated
TBA fragment C6H14N [M+H]+,TBA fragment C6H14N,,C6H14N,C6H15N,protonated
TBA fragment C6H14N [M+NH4]+,TBA fragment C6H14N,,C6H14N,C6H18N2,ammoniated
TBA fragment C6H14N [M+Na]+,TBA fragment C6H14N,,C6H14N,C6H14NNa,sodiated
TBA fragment C6H14N [M+K]+,TBA fragment C6H14N,,C6H14N,C6H14KN,potassiated
TBA fragment C6H14N [2M+H]+,TBA fragment C6H14N,,C12H28N2,C12H29N2,dimer_protonated
