compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz
DMSO [M+Na]+,DMSO,,C2H6OS,C2H6NaOS,sodiated,101.12307775985994
DMSO [M+K]+,DMSO,,C2H6OS,C2H6KOS,potassiated,117.2316096034227
DMSO [2M+H]+,DMSO,,C4H12O2S2,C4H13O2S2,dimer_protonated,157.27455771181565
DMSO-d6 [M+H]+,DMSO-d6,,C2D6OS,C2HD6OS,protonated,85.17821537628114
DMSO-d6 [M+NH4]+,DMSO-d6,,C2D6OS,C2H4D6NOS,ammoniated,102.20874084978041
DMSO-d6 [M+Na]+,DMSO-d6,,C2D6OS,C2D6NaOS,sodiated,107.16004390328538
DMSO-d6 [M+K]+,DMSO-d6,,C2D6OS,C2D6KOS,potassiated,123.26857574684817
DMSO-d6 [2M+H]+,DMSO-d6,,C4D12O2S2,C4HD12O2S2,dimer_protonated,169.34848999866654
Piperidine [M+H]+,Piperidine,,C5H11N,C5H12N,protonated,86.15567174238338
Piperidine [M+NH4]+,Piperidine,,C5H11N,C5H15N2,ammoniated,103.18619721588261
Piperidine [M+Na]+,Piperidine,,C5H11N,C5H11NNa,sodiated,108.13750026938763
Piperidine [M+K]+,Piperidine,,C5H11N,C5H11KN,potassiated,124.24603211295039
Piperidine [2M+H]+,Piperidine,,C10H22N2,C10H23N2,dimer_protonated,171.303402730871
Hexanes [M+H]+,Hexanes,,C6H14,C6H15,protonated,87.18352668902313
Hexanes [M+NH4]+,Hexanes,,C6H14,C6H18N,ammoniated,104.21405216252239
Hexanes [M+Na]+,Hexanes,,C6H14,C6H14Na,sodiated,109.16535521602736
Hexanes [M+K]+,Hexanes,,C6H14,C6H14K,potassiated,125.27388705959012
Hexanes [2M+H]+,Hexanes,,C12H28,C12H29,dimer_protonated,173.3591126241505
Toluene [M+H]+,Toluene,,C7H8,C7H9,protonated,93.14661806241304
Toluene [M+NH4]+,Toluene,,C7H8,C7H12N,ammoniated,110.1771435359123
Toluene [M+Na]+,Toluene,,C7H8,C7H8Na,sodiated,115.12844658941728
Toluene [M+K]+,Toluene,,C7H8,C7H8K,potassiated,131.23697843298004
Toluene [2M+H]+,Toluene,,C14H16,C14H17,dimer_protonated,185.28529537093033
Aniline [M+H]+,Aniline,,C6H7N,C6H8N,protonated,94.13464462356481
Aniline [M+NH4]+,Aniline,,C6H7N,C6H11N2,ammoniated,111.16517009706405
Aniline [M+Na]+,Aniline,,C6H7N,C6H7NNa,sodiated,116.11647315056905
Aniline [M+K]+,Aniline,,C6H7N,C6H7KN,potassiated,132.2250049941318
Aniline [2M+H]+,Aniline,,C12H14N2,C12H15N2,dimer_protonated,187.26134849323384
Silicic acid [M+H]+,Silicic acid,,H4SiO4,H5O4Si,protonated,97.12282218441955
Silicic acid [M+NH4]+,Silicic acid,,H4SiO4,H8NO4Si,ammoniated,114.15334765791879
Silicic acid [M+Na]+,Silicic acid,,H4SiO4,H4NaO4Si,sodiated,119.10465071142379
Silicic acid [M+K]+,Silicic acid,,H4SiO4,H4KO4Si,potassiated,135.21318255498656
Silicic acid [2M+H]+,Silicic acid,,H8O8Si2,H9O8Si2,dimer_protonated,193.23770361494334
Phosphoric acid [M+H]+,Phosphoric acid,,H3PO4,H4O4P,protonated,99.0031443541049
Phosphoric acid [M+NH4]+,Phosphoric acid,,H3PO4,H7NO4P,ammoniated,116.03366982760416
Phosphoric acid [M+Na]+,Phosphoric acid,,H3PO4,H3NaO4P,sodiated,120.98497288110914
Phosphoric acid [M+K]+,Phosphoric acid,,H3PO4,H3KO4P,potassiated,137.0935047246719
Phosphoric acid [2M+H]+,Phosphoric acid,,H6O8P2,H7O8P2,dimer_protonated,196.99834795431406
Triethylamine [M+H]+,Triethylamine,,C6H15N,C6H16N,protonated,102.19817065473087
Triethylamine [M+NH4]+,Triethylamine,,C6H15N,C6H19N2,ammoniated,119.22869612823011
Triethylamine [M+Na]+,Triethylamine,,C6H15N,C6H15NNa,sodiated,124.1799991817351
Triethylamine [M+K]+,Triethylamine,,C6H15N,C6H15KN,potassiated,140.28853102529786
Triethylamine [2M+H]+,Triethylamine,,C12H30N2,C12H31N2,dimer_protonated,203.388400555566
Selenium dioxide [M+H]+,Selenium dioxide,80Se,SeO2,HO2Se,protonated,112.92327190815669
Selenium dioxide [M+NH4]+,Selenium dioxide,80Se,SeO2,H4NO2Se,ammoniated,129.95379738165593
