scan_number,compound,theoretical_mz,observed_mz,mz_difference,tolerance_used,intensity,sn_ratio,mass_type,molecular_formula
2,Lead acetate [M+H]+,327.01108700000003,326.9951,0.015987000000052376,0.02,7838.0,136.5,protonated,PbC4H6O4
2,TOPO [M+H]+,387.3755779172,387.3594,0.01617791720002515,0.02,1990.0,32.0,protonated,C24H51OP
3,DMSO [M+H]+,79.02176084405,79.0169,0.004860844049986213,0.01,2349.0,98.6,protonated,C2H6OS
3,DMSO-d6 [M+H]+,85.059423,85.0593,0.00012300000000209366,0.01,11342.0,480.3,protonated,C2D6OS
3,Piperidine [M+H]+,86.09697399999999,86.0921,0.004873999999986722,0.01,1005.0,42.6,protonated,C5H11N
3,Toluene [M+H]+,93.070425,93.065,0.005425000000002456,0.01,40692.0,1731.9,protonated,C7H8
3,Aniline [M+H]+,94.065674,94.0633,0.002374000000003207,0.01,5369.0,228.7,protonated,C6H7N
3,Silicic acid [M+H]+,96.995712,96.9995,0.0037880000000001246,0.01,142.0,6.1,protonated,H4SiO4
3,Phosphoric acid [M+H]+,98.984722,98.9791,0.005622000000002458,0.01,2194.0,93.6,protonated,H3PO4
3,Triethylamine [M+H]+,102.12827451792,102.1224,0.005874517920005928,0.01,1129.0,48.1,protonated,C6H15N
3,PBG fragment 1 [M+H]+,122.060589,122.0555,0.005088999999998123,0.01,5174.0,218.9,protonated,C7H7NO
3,PBG fragment 2 [M+H]+,125.060255,125.0534,0.00685500000000161,0.01,20979.0,888.6,protonated,C7H8O2
3,Quinoline [M+H]+,130.06567426136002,130.0535,0.012174261360001992,0.02,1697.0,71.4,protonated,C9H7N
3,Quinoline [M+H]+,130.06567426136002,130.0836,0.017925738639974043,0.02,2184.0,91.9,protonated,C9H7N
3,Coumarin [M+H]+,147.044605,147.0395,0.005104999999986148,0.01,2208.0,91.1,protonated,C9H6O2
3,Lead stearate [M+H]+,150.1130183766,150.1146,0.0015816233999998985,0.01,4469.0,182.7,protonated,C6H15NO3
3,Triethanolamine [M+H]+,150.11301899999998,150.1146,0.0015810000000158198,0.01,4469.0,182.7,protonated,C6H15NO3
3,Quinoline [M+Na]+,152.047619,152.0312,0.016418999999984862,0.02,437.0,17.7,sodium_adduct,C9H7N
3,Quinoline [M+Na]+,152.047619,152.067,0.019381000000009863,0.02,799.0,32.4,sodium_adduct,C9H7N
3,WPBG-027 fragment [M+H]+,164.071154,164.0712,4.5999999997548e-05,0.01,3147.0,124.7,protonated,C9H9NO2
3,Diphenylphosphine [M+H]+,187.06766201484,187.054,0.013662014840008396,0.02,1612.0,60.7,protonated,C12H11P
3,3-MPTMS [M+H]+,209.06676693637,209.075,0.008233063630001425,0.01,1217.0,42.2,protonated,C7H16O3SSi
3,PBG [M+H]+,232.13375382118,232.1466,0.01284617882001271,0.02,2308.0,72.9,protonated,C14H17NO2
3,WPBG-027 [M+H]+,232.13375382118,232.1466,0.01284617882001271,0.02,2308.0,72.9,protonated,C14H17NO2
3,TBA+ [M+Na]+,242.28477515932,242.2673,0.017475159319985778,0.02,170.0,5.1,sodium_adduct,C16H36N
3,TBA+ [M]+,242.28477515932,242.2673,0.017475159319985778,0.02,170.0,5.1,cation,C16H36N
3,1-Octadecene [M+H]+,253.289525,253.2742,0.015324999999990041,0.02,357.0,10.1,protonated,C18H36
3,Linoleic acid [M+Na]+,305.24565,305.2345,0.011149999999986449,0.02,2157.0,43.1,sodium_adduct,C18H34O2
3,Oleic acid [M+Na]+,305.24565,305.2345,0.011149999999986449,0.02,2157.0,43.1,sodium_adduct,C18H34O2
3,Stearic acid [M+Na]+,307.2613,307.2506,0.010699999999985721,0.02,1591.0,31.5,sodium_adduct,C18H36O2
3,Lead acetate [M+H]+,327.01108700000003,326.9954,0.015687000000013995,0.02,7503.0,136.2,protonated,PbC4H6O4
3,TOPO [M+H]+,387.3755779172,387.36,0.015577917200005231,0.02,1827.0,30.1,protonated,C24H51OP
4,DMSO [M+H]+,79.02176084405,79.0168,0.004960844049989532,0.01,2437.0,102.5,protonated,C2H6OS
4,DMSO-d6 [M+H]+,85.059423,85.0593,0.00012300000000209366,0.01,10791.0,457.9,protonated,C2D6OS
4,Piperidine [M+H]+,86.09697399999999,86.0927,0.004273999999995226,0.01,933.0,39.6,protonated,C5H11N
4,Toluene [M+H]+,93.070425,93.065,0.005425000000002456,0.01,39884.0,1700.3,protonated,C7H8
4,Aniline [M+H]+,94.065674,94.0637,0.001974000000004139,0.01,5161.0,220.2,protonated,C6H7N
4,Phosphoric acid [M+H]+,98.984722,98.9791,0.005622000000002458,0.01,2243.0,95.7,protonated,H3PO4
4,Triethylamine [M+H]+,102.12827451792,102.1223,0.005974517920009248,0.01,982.0,41.9,protonated,C6H15N
4,PBG fragment 1 [M+H]+,122.060589,122.0554,0.005188999999987232,0.01,4823.0,203.3,protonated,C7H7NO
4,PBG fragment 2 [M+H]+,125.060255,125.0534,0.00685500000000161,0.01,20555.0,870.4,protonated,C7H8O2
4,Quinoline [M+H]+,130.06567426136002,130.0534,0.012274261360005312,0.02,1809.0,76.2,protonated,C9H7N
4,Quinoline [M+H]+,130.06567426136002,130.0828,0.017125738639975907,0.02,2244.0,94.5,protonated,C9H7N
4,Lead stearate [M+H]+,150.1130183766,150.1149,0.0018816234000098575,0.01,4083.0,166.8,protonated,C6H15NO3
4,Triethanolamine [M+H]+,150.11301899999998,150.1149,0.0018810000000257787,0.01,4083.0,166.8,protonated,C6H15NO3
4,Quinoline [M+Na]+,152.047619,152.0306,0.01701900000000478,0.02,474.0,19.3,sodium_adduct,C9H7N
4,Quinoline [M+Na]+,152.047619,152.0668,0.019181000000003223,0.02,792.0,32.2,sodium_adduct,C9H7N
4,WPBG-027 fragment [M+H]+,164.071154,164.0712,4.5999999997548e-05,0.01,3176.0,126.1,protonated,C9H9NO2
4,Diphenylphosphine [M+H]+,187.06766201484,187.0541,0.013562014840005077,0.02,1476.0,56.0,protonated,C12H11P
4,3-MPTMS [M+H]+,209.06676693637,209.0773,0.010533063630020933,0.02,1259.0,44.2,protonated,C7H16O3SSi
4,PBG [M+H]+,232.13375382118,232.1465,0.01274617882000939,0.02,2173.0,69.7,protonated,C14H17NO2
4,WPBG-027 [M+H]+,232.13375382118,232.1465,0.01274617882000939,0.02,2173.0,69.7,protonated,C14H17NO2
4,TBA+ [M+Na]+,242.28477515932,242.2716,0.013175159319985141,0.02,124.0,3.8,sodium_adduct,C16H36N
4,TBA+ [M]+,242.28477515932,242.2716,0.013175159319985141,0.02,124.0,3.8,cation,C16H36N
4,1-Octadecene [M+H]+,253.289525,253.2789,0.010625000000004547,0.02,384.0,11.0,protonated,C18H36
4,PBG [M+Na]+,254.115699,254.0989,0.016799000000020214,0.02,529.0,15.1,sodium_adduct,C14H17NO2
4,Linoleic acid [M+Na]+,305.24565,305.2362,0.00945000000001528,0.01,1880.0,38.0,sodium_adduct,C18H34O2
4,Oleic acid [M+Na]+,305.24565,305.2362,0.00945000000001528,0.01,1880.0,38.0,sodium_adduct,C18H34O2
4,Stearic acid [M+Na]+,307.2613,307.2507,0.010600000000010823,0.02,1734.0,34.7,sodium_adduct,C18H36O2
4,Lead acetate [M+H]+,327.01108700000003,326.9955,0.015587000000039097,0.02,7174.0,131.1,protonated,PbC4H6O4
4,TOPO [M+H]+,387.3755779172,387.3591,0.016477917200006686,0.02,1906.0,31.7,protonated,C24H51OP
5,DMSO [M+H]+,79.02176084405,79.0167,0.005060844049992852,0.01,2520.0,103.3,protonated,C2H6OS
5,DMSO-d6 [M+H]+,85.059423,85.0592,0.00022299999999120246,0.01,10694.0,443.1,protonated,C2D6OS
5,Piperidine [M+H]+,86.09697399999999,86.0926,0.004373999999984335,0.01,887.0,36.8,protonated,C5H11N
5,Toluene [M+H]+,93.070425,93.0649,0.005525000000005775,0.01,39147.0,1636.2,protonated,C7H8
5,Aniline [M+H]+,94.065674,94.0634,0.0022739999999998872,0.01,5286.0,221.1,protonated,C6H7N
5,Phosphoric acid [M+H]+,98.984722,98.9791,0.005622000000002458,0.01,2309.0,96.7,protonated,H3PO4
5,Triethylamine [M+H]+,102.12827451792,102.123,0.005274517920000221,0.01,1136.0,47.5,protonated,C6H15N
5,PBG fragment 1 [M+H]+,122.060589,122.0557,0.0048889999999914835,0.01,4520.0,188.8,protonated,C7H7NO
5,PBG fragment 2 [M+H]+,125.060255,125.0534,0.00685500000000161,0.01,20585.0,862.4,protonated,C7H8O2
5,Quinoline [M+H]+,130.06567426136002,130.0533,0.012374261360008632,0.02,1739.0,72.5,protonated,C9H7N
5,Quinoline [M+H]+,130.06567426136002,130.083,0.017325738639982546,0.02,2456.0,102.3,protonated,C9H7N
5,Lead stearate [M+H]+,150.1130183766,150.1147,0.0016816234000032182,0.01,4514.0,181.6,protonated,C6H15NO3
5,Triethanolamine [M+H]+,150.11301899999998,150.1147,0.0016810000000191394,0.01,4514.0,181.6,protonated,C6H15NO3
5,Quinoline [M+Na]+,152.047619,152.0303,0.017318999999986318,0.02,467.0,18.7,sodium_adduct,C9H7N
5,Quinoline [M+Na]+,152.047619,152.0675,0.01988099999999804,0.02,802.0,32.1,sodium_adduct,C9H7N
5,WPBG-027 fragment [M+H]+,164.071154,164.0707,0.0004540000000190503,0.01,2849.0,110.9,protonated,C9H9NO2
5,Diphenylphosphine [M+H]+,187.06766201484,187.0559,0.011762014840002166,0.02,1289.0,47.5,protonated,C12H11P
5,3-MPTMS [M+H]+,209.06676693637,209.0468,0.0199669363699968,0.02,827.0,28.0,protonated,C7H16O3SSi
5,3-MPTMS [M+H]+,209.06676693637,209.0776,0.01083306363000247,0.02,1172.0,39.7,protonated,C7H16O3SSi
5,PBG [M+H]+,232.13375382118,232.1477,0.013946178819992383,0.02,2153.0,66.4,protonated,C14H17NO2
5,WPBG-027 [M+H]+,232.13375382118,232.1477,0.013946178819992383,0.02,2153.0,66.4,protonated,C14H17NO2
5,TBA+ [M+Na]+,242.28477515932,242.2763,0.008475159319999648,0.01,197.0,5.8,sodium_adduct,C16H36N
5,TBA+ [M]+,242.28477515932,242.2763,0.008475159319999648,0.01,197.0,5.8,cation,C16H36N
5,1-Octadecene [M+H]+,253.289525,253.28,0.009524999999996453,0.01,507.0,14.1,protonated,C18H36
5,PBG [M+Na]+,254.115699,254.1017,0.01399900000001253,0.02,533.0,14.7,sodium_adduct,C14H17NO2
5,Linoleic acid [M+Na]+,305.24565,305.2375,0.008150000000000546,0.01,1684.0,33.9,sodium_adduct,C18H34O2
5,Oleic acid [M+Na]+,305.24565,305.2375,0.008150000000000546,0.01,1684.0,33.9,sodium_adduct,C18H34O2
5,Stearic acid [M+Na]+,307.2613,307.2514,0.009900000000016007,0.01,1710.0,34.1,sodium_adduct,C18H36O2
5,Lead acetate [M+H]+,327.01108700000003,326.9957,0.015387000000032458,0.02,7052.0,129.1,protonated,PbC4H6O4
5,TOPO [M+H]+,387.3755779172,387.3595,0.016077917199993408,0.02,1773.0,29.7,protonated,C24H51OP
6,DMSO [M+H]+,79.02176084405,79.0167,0.005060844049992852,0.01,2223.0,90.0,protonated,C2H6OS
6,DMSO-d6 [M+H]+,85.059423,85.0595,7.700000000454565e-05,0.01,11217.0,459.5,protonated,C2D6OS
